first,sec
哈尔滨石油学院,土木工程学院
空军工程大学,航空工程学院
齐齐哈尔工程学院,建筑工程系
山西铁道职业技术学院,土木建筑系
山西工商学院,建工学院
福州理工学院,土木学院
太原城市职业技术学院,工程经济系
山西水利职业技术学院,工程管理系
武汉东湖学院,经济学院
阳光学院,土木工程学院
三明学院,土木学院
重庆水利电力职业技术学院,建筑工程学院
重庆科创职业学院,建筑工程学院
北方工业大学,土木工程学院
重庆工商职业学院,城市建设工程学院
荆州职业技术学院,建筑工程系
河北科技师范学院,城市建设学院
西南石油大学,工程学院
重庆财经职业学院,应用技术系
重庆商务职业学院,财经管理学院
重庆电子工程职业学院,建筑与材料学院
成都锦城学院,土木与环境工程学院
西华大学,建筑与土木工程学院
天津农学院,水利学院
云南工商学院,建筑工程学院
山西省城乡建设学校,工民建
云南农业大学,工程管理系
昆明城市学院,数字与工程学院
云南工商管理学院,建筑工程学院
北京建筑大学,城市经济与管理学院
湖北文理学院理工学院,建筑工程系
长江职业学院,城市建设学院
武汉工程职业技术学院,土木工程学院
湖北财税职业学院,财税系
唐山劳动技师学院,建筑工程系
燕京理工学院,建筑学院
东北石油大学秦皇岛校区,建筑工程学院
重庆工程职业技术学院,建筑工程学院
成都职业技术学院,城市建设学院
重庆安全技术职业学院,建筑与环境安全系
成都文理学院,建筑学院
华北科技学院,建筑工程学院
天津职业大学,经济与管理学院
唐山职业技术学院,农林工程系
秦皇岛职业技术学院,经济管理系
天津国土资源和房屋职业学院,建筑工程系
天津滨海职业学院,建筑工程系
河北建材职业技术学院,建筑工程系
北京工业职业技术学院,建筑与测绘工程学院
北京财贸职业学院,建筑工程管理学院
防灾科技学院,土木工程学院
天津商业大学,管理学院
上海一砖一瓦教育科技有限公司,工管工造
广联达测试大学,河北
吉林电子信息职业技术学院,建筑工程学院
西安交通工程学院,土木工程学院
云南国土资源职业学院,建设工程学院
陕西国际商贸学院,管理学院
保定职业技术学院,建筑工程系
四川职业技术学院,建筑工程学院
云南商务职业学院,工程与信息学院
四川交通职业技术学院,建筑工程系
北京交通职业技术学院,路桥系
西安外事学院,建筑工程系
天津铁道职业技术学院,建筑工程系
威海职业学院,建筑工程系
宁夏大学新华学院,工程与应用科学系
石家庄职业技术学院,建筑工程学院
武汉交通职业学院,交通工程学院
宁夏建设职业技术学院,经济管理系
邯郸职业技术学院,建筑工程系
河北正定师范高等专科学校,艺术与建筑工程系
云南机电职业技术学院,电气工程学院
云南工程职业学院,工程技术学院
武汉城市职业学院,建筑工程学院
济南工程职业技术学院,工程管理学院
乐山职业技术学院,财经管理系
广联达测试大学,工管工造学院
广联达测试大学,建筑学院
