,sample_id,predict_label,pred
0,3536321009076468480,0,1.1132065225183396e-07
1,3560992367738357760,0,1.0942764028243346e-08
2,3572270385861174016,0,4.498954098153263e-08
3,3549810880069533696,0,2.681973576557084e-08
4,3539453786141158656,1,0.999062716960907
5,3569900472298763776,0,1.913159053401614e-08
6,3573247994923858944,0,3.917144113074755e-06
7,3577696578438479104,0,7.431214754660687e-08
8,3568560355950269952,0,8.647614180290475e-08
9,3561000130982688768,0,8.871446652847226e-07
10,3563355027100545536,0,4.0965909420265234e-07
11,3563554925707705856,0,3.2507100513612386e-06
12,3549639144004042752,0,3.2789969282021048e-06
13,3570660359387744000,0,1.9134253292918402e-08
14,3548140766902847488,0,2.9350953667517388e-08
15,3551118951361651712,0,4.073530362802558e-06
16,3561540014722475008,0,4.5646451951597555e-08
17,3565863124793258752,0,4.3690278062058496e-08
18,3539811473163606272,0,6.735963779647136e-06
19,3559709119558151936,0,3.123987823983043e-08
20,3550985506727041792,0,1.0832322914211545e-05
21,3534797242169829888,0,6.604003829124849e-06
22,3539085116884225792,0,1.2022130135846965e-07
23,3573993793027761664,0,1.1847395953168416e-08
24,3539084635851499520,0,8.701716183168173e-07
25,3544668083983313664,1,1.0
26,3548166523822956800,0,2.5504052203473293e-08
27,3509362910251613952,0,8.154901109946877e-08
28,3550796529968441600,0,9.495517616642246e-08
29,3554711356497341184,0,1.5384757716674358e-05
30,3567863671165231104,0,1.067860182502045e-07
31,3573812205450766336,0,3.5570637546555872e-09
32,3561542806453323008,0,3.8709728755748074e-08
33,3508259500286007552,1,1.0
34,3567850771232084480,0,9.284055408897984e-07
35,3567873620551528448,0,2.03930330400226e-08
36,3568585223808247040,0,4.4634154505729384e-07
37,3549447047296899840,0,1.2414375305525027e-06
38,3549249888967612672,0,6.576349278475391e-07
39,3572460189053828352,0,1.6569763374718605e-06
40,3568390827799859968,0,2.11101337299624e-06
41,3568421667813444352,0,2.1618149048663327e-08
42,3539442960118966272,0,8.602357581821707e-08
43,3549645682742389760,1,0.9999760389328003
44,3571704712242027264,0,1.2776489199950447e-08
45,3565842019414326016,0,9.195777238346636e-06
46,3554265068246456320,0,2.752045134002401e-07
47,3564143673382220032,0,2.1208286398177734e-06
48,3567852244406977024,0,4.151086230308465e-08
49,3567863252406414080,0,1.452735602924804e-07
50,3572486297505510144,0,3.2689484452674833e-09
51,3559457986377027840,0,3.7444085592142073e-06
52,3573810967009008384,0,6.727182335453108e-05
53,3577697987187600384,0,4.1377980153356475e-08
54,3547273497629978624,1,0.9913443326950073
55,3549821443542451712,0,5.055343081039609e-06
56,3541868873612881152,0,3.811529495578725e-06
57,3567862906754181632,0,3.1678724088379795e-09
58,3572819492479856640,0,3.3718803305049505e-09
59,3565849449614050048,0,4.163941014212469e-07
60,3576785806785070336,0,4.6821440946587245e-08
61,3561512960814650624,0,4.929487928961862e-09
62,3568563695287441152,0,4.3918699788036974e-08
63,3560994856764514304,0,3.19864540188064e-07
64,3553159513600595456,0,4.118590197776939e-07
65,3548324786925528064,0,3.1109521625438674e-09
66,3571711823215285248,0,6.526286597363651e-05
67,3547038319666418944,0,9.144804380412097e-08
68,3565848092407456256,0,4.714224743906925e-08
69,3545361057626896640,0,1.810094204302004e-06
70,3549851409876186368,0,2.2880431060912088e-07
71,3567854136429777664,0,3.978302487439578e-08
72,3561543287577836288,0,1.960497911568382e-06
73,3535146281835985920,0,3.3624137358856387e-06
74,3569340377845096192,0,1.1273807132283764e-07
75,3550795883922234368,0,9.856949922948388e-09
76,3544621365473294848,0,8.612076385361433e-08
77,3561510428933082880,0,3.180866087859613e-06
78,3568561780384076544,0,4.391651842183819e-08
79,3550554055789907712,0,2.26464536012827e-07
80,3563360196092961792,0,9.071716249309247e-07
81,3564139638165685248,0,1.430696192983305e-05
82,3564140084935826688,0,3.750427968185477e-09
83,3572459254900475904,0,1.9826694952485013e-08
84,3571517911883479808,0,1.0697366633394267e-05
85,3574315311476254464,0,4.851048061027541e-07
86,3543179727693619200,0,6.124818128228071e-07
87,3549270624724445440,0,3.2667367122485302e-06
88,3545547848491031552,0,6.191566626512213e-06
89,3572862661197634560,0,3.4000378068554937e-09
