,tenant_level_code,student_num_code,techer_num_code,student_rate_code,techer_rate_code,nofree_course_num_code,free_course_num_code,nofree_course_rate_code,free_course_rate_code,nofreecourseNum_Same2Tenant,teachplan_num_code,teachplan_type_num_code,teachact_num_code,teachact_type_num_code,openingtime_code,region_code,prvn_code,teacher_num_code,teacher_rate_code,teachActSim,virtualLabel,type
3534508470045141760,6675,79,0,0,0,4,0,0,0,4,7,4,167,6,2022,7266,120000,1,0,50,3,other
3544305672492204032,6675,7,0,0,0,3,0,0,0,3,1,1,35,6,2022,7268,370000,3,0,13,3,other
3544119193601817344,6675,193,0,0,0,8,4,0,0,3,4,2,112,6,2022,7266,130000,6,0,45,3,other
3545177007539102720,9075,143,0,1,0,2,0,0,0,2,34,21,628,6,2022,7268,370000,2,0,63,3,other
3549638950731524608,6675,95,0,0,0,2,0,0,0,2,3,3,40,6,2022,8878,530000,2,0,26,3,other
3536515383709585152,6675,131,0,0,0,4,0,0,0,4,12,5,246,6,2022,8878,530000,0,0,42,3,other
3544631959597008640,9075,330,0,0,0,2,0,0,0,2,25,7,323,6,2022,7268,320000,5,0,52,3,other
3516838156829002752,9075,670,0,18,0,2,0,0,0,1,36,13,666,6,2021,8878,530000,1,0,33,3,other
3569866705267596544,6675,65,0,0,0,4,5,0,0,4,14,14,24,2,2022,7290,420000,1,0,20,3,other
3513720525967670272,9075,36,0,0,0,2,1,0,0,1,18,13,257,6,2021,8878,530000,2,0,31,3,other
