,tenant_level_code,student_num_code,techer_num_code,student_rate_code,techer_rate_code,nofree_course_num_code,free_course_num_code,nofree_course_rate_code,free_course_rate_code,nofreecourseNum_Same2Tenant,teachplan_num_code,teachplan_type_num_code,teachact_num_code,teachact_type_num_code,openingtime_code,region_code,prvn_code,teacher_num_code,teacher_rate_code,teachActSim,virtualLabel,type
3567851411183772160,9075,0,0,0,0,2,0,0,0,2,0,0,0,0,2022,7268,360000,1,0,100,0,train
3502730810907005440,9075,284,0,1,0,7,0,1,0,7,55,19,986,6,2021,7266,130000,7,1,59,1,train
3574500356503795712,6675,0,0,0,0,2,0,0,0,0,0,0,0,0,2022,8878,520000,1,0,100,0,train
3545186065626980096,9090,0,0,0,0,1,0,0,0,1,0,0,0,0,2022,7266,110000,1,0,100,0,train
3572458048012578048,9075,0,0,0,0,1,0,0,0,0,0,0,0,0,2022,6866,210000,1,0,100,0,train
3525919328242680576,6675,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7266,130000,0,0,100,0,train
3537629395704724480,9075,0,0,0,0,4,0,0,0,4,4,4,73,5,2022,7266,120000,1,0,36,0,train
3566209063022919936,6675,0,0,0,0,2,0,0,0,2,0,0,0,0,2022,7268,350000,1,0,100,0,train
3567849686845980672,6675,4,0,0,0,2,0,0,0,2,4,1,140,6,2022,7268,370000,5,0,16,0,train
3573791492971603968,6675,0,0,0,0,2,0,0,0,0,0,0,0,0,2022,8878,520000,2,0,100,0,train
3567863091346026240,9090,0,0,0,0,2,17,0,0,2,1,1,0,0,2022,8878,520000,2,0,27,0,train
3564143001129043456,9075,0,0,0,0,2,0,0,0,2,0,0,0,0,2022,8866,610000,1,0,100,0,train
3561509700844771328,6675,0,0,0,0,2,0,0,0,2,0,0,0,0,2022,7290,430000,1,0,100,0,train
3561510196914107648,9075,0,0,0,0,2,0,0,0,2,0,0,0,0,2022,7290,410000,1,0,100,0,train
3572639340729310720,9075,0,0,0,0,4,1,0,0,4,0,0,0,0,2022,7268,320000,1,0,100,0,train
3541896756537137408,6675,30,0,0,0,3,0,0,0,3,39,14,603,6,2022,7268,350000,0,0,71,0,train
3565842178328090880,9075,3,0,0,0,4,3,0,0,4,4,4,15,2,2022,7278,440000,3,0,35,0,train
3572865247420547072,6675,6,0,0,0,4,6,0,0,4,9,6,25,2,2022,8878,500000,3,0,23,0,train
3555584018915151360,6675,0,0,0,0,1,0,0,0,1,0,0,0,0,2022,7290,410000,1,0,11,0,train
3572457873413812224,6675,0,0,0,0,2,0,0,0,0,0,0,0,0,2022,7278,460000,1,0,100,0,train
3576357602842073344,9075,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7268,370000,1,0,100,0,train
3572270599956643584,9075,0,0,0,0,2,0,0,0,2,0,0,0,0,2022,7268,350000,1,0,100,0,train
3571715044441560576,9075,0,0,0,0,1,0,0,0,1,0,0,0,0,2022,8878,500000,1,0,100,0,train
3566000529384989952,9075,0,0,0,0,4,2,0,0,4,1,1,35,6,2022,7268,340000,1,0,18,0,train
3561511399501416960,9075,1,0,0,0,3,1,0,0,3,1,1,37,6,2022,7278,450000,2,0,32,0,train
3571398213292458240,9075,0,0,0,0,6,1,0,0,2,4,4,77,2,2022,8878,520000,2,0,100,0,train
3572485668293442560,6675,0,0,0,0,1,0,0,0,0,0,0,0,0,2022,8866,650000,1,0,100,0,train
3545047666747258368,6675,9,0,0,0,2,2,0,0,2,6,3,141,6,2022,7268,320000,3,0,43,0,train
3539453595016324096,6675,0,0,0,0,3,0,0,0,3,0,0,0,0,2022,8866,610000,1,0,100,0,train
3534988630765837568,6675,12,0,0,0,4,0,0,0,4,12,11,206,6,2022,7266,130000,0,0,39,0,train
3576210517389260288,9075,1,0,0,0,2,2,0,0,0,0,0,0,0,2022,7266,130000,1,0,14,0,train
3540166713648065024,6675,0,0,0,0,3,0,0,0,3,0,0,0,0,2022,7266,140000,1,0,100,0,train
3567852454857089280,9075,0,0,0,0,2,0,0,0,2,0,0,0,0,2022,7268,360000,1,0,100,0,train
3564140254588434432,6675,5,0,0,0,6,1,0,0,3,6,3,34,4,2022,8866,610000,5,0,41,0,train
3561540087827161344,6675,0,0,0,0,2,0,0,0,2,0,0,0,0,2022,7290,420000,1,0,100,0,train
3540373918460195584,9075,2,0,0,0,3,0,0,0,3,2,1,75,6,2022,8878,510000,1,0,34,0,train
3571518137373165056,9075,0,0,0,0,4,0,0,0,4,0,0,0,0,2022,7290,410000,1,0,100,0,train
3545927409196672000,9075,0,0,0,0,2,0,0,0,2,0,0,0,0,2022,7268,370000,3,0,100,0,train
3572457508995723520,9075,0,0,0,0,1,0,0,0,0,0,0,0,0,2022,8878,510000,1,0,100,0,train
3541835624123502080,6675,218,0,0,0,2,1,0,0,2,12,5,203,6,2022,7290,410000,2,0,44,1,train
3574310662830322176,9075,0,0,0,0,2,0,0,0,2,0,0,0,0,2022,6866,210000,1,0,100,0,train
3544659421034190848,9090,0,0,0,0,2,0,0,0,2,0,0,0,0,2022,7268,370000,1,0,100,0,train
3561376698682767360,9075,9,0,0,0,1,0,0,0,1,3,3,31,3,2022,8866,650000,1,0,71,0,train
3547061961313565952,9090,0,0,0,0,2,0,0,0,2,0,0,0,0,2022,7268,330000,1,0,9,0,train
3547218822695612928,9075,0,0,0,0,1,0,0,0,1,0,0,0,0,2022,8866,610000,1,0,12,0,train
